Ранг задачи (r),T1,Tn,Количество этапов (n),Коэффициент ускорения K(n),Эффективность e(n)
1,6,6,6,1.0,0.16667
1,6,6,1,1.0,1.0
2,12,7,6,1.71429,0.28571
2,12,12,1,1.0,1.0
3,18,8,6,2.25,0.375
3,18,18,1,1.0,1.0
4,24,9,6,2.66667,0.44444
4,24,24,1,1.0,1.0
5,30,10,6,3.0,0.5
5,30,30,1,1.0,1.0
6,36,11,6,3.27273,0.54546
6,36,36,1,1.0,1.0
7,42,12,6,3.5,0.58333
7,42,42,1,1.0,1.0
8,48,13,6,3.69231,0.61538
8,48,48,1,1.0,1.0
9,54,14,6,3.85714,0.64286
9,54,54,1,1.0,1.0
10,60,15,6,4.0,0.66667
10,60,60,1,1.0,1.0
11,66,16,6,4.125,0.6875
11,66,66,1,1.0,1.0
12,72,17,6,4.23529,0.70588
12,72,72,1,1.0,1.0
13,78,18,6,4.33333,0.72222
13,78,78,1,1.0,1.0
14,84,19,6,4.42105,0.73684
14,84,84,1,1.0,1.0
15,90,20,6,4.5,0.75
15,90,90,1,1.0,1.0
16,96,21,6,4.57143,0.76191
16,96,96,1,1.0,1.0
17,102,22,6,4.63636,0.77273
17,102,102,1,1.0,1.0
18,108,23,6,4.69565,0.78261
18,108,108,1,1.0,1.0
19,114,24,6,4.75,0.79167
19,114,114,1,1.0,1.0
20,120,25,6,4.8,0.8
20,120,120,1,1.0,1.0
21,126,26,6,4.84615,0.80769
21,126,126,1,1.0,1.0
22,132,27,6,4.88889,0.81481
22,132,132,1,1.0,1.0
23,138,28,6,4.92857,0.82143
23,138,138,1,1.0,1.0
24,144,29,6,4.96552,0.82759
24,144,144,1,1.0,1.0
25,150,30,6,5.0,0.83333
25,150,150,1,1.0,1.0
26,156,31,6,5.03226,0.83871
26,156,156,1,1.0,1.0
27,162,32,6,5.0625,0.84375
27,162,162,1,1.0,1.0
28,168,33,6,5.09091,0.84849
28,168,168,1,1.0,1.0
29,174,34,6,5.11765,0.85294
29,174,174,1,1.0,1.0
30,180,35,6,5.14286,0.85714
30,180,180,1,1.0,1.0
31,186,36,6,5.16667,0.86111
31,186,186,1,1.0,1.0
32,192,37,6,5.18919,0.86486
32,192,192,1,1.0,1.0
33,198,38,6,5.21053,0.86842
33,198,198,1,1.0,1.0
34,204,39,6,5.23077,0.87179
34,204,204,1,1.0,1.0
35,210,40,6,5.25,0.875
35,210,210,1,1.0,1.0
36,216,41,6,5.26829,0.87805
36,216,216,1,1.0,1.0
37,222,42,6,5.28571,0.88095
37,222,222,1,1.0,1.0
38,228,43,6,5.30233,0.88372
38,228,228,1,1.0,1.0
39,234,44,6,5.31818,0.88636
39,234,234,1,1.0,1.0
40,240,45,6,5.33333,0.88889
40,240,240,1,1.0,1.0
41,246,46,6,5.34783,0.89131
41,246,246,1,1.0,1.0
42,252,47,6,5.3617,0.89362
42,252,252,1,1.0,1.0
43,258,48,6,5.375,0.89583
43,258,258,1,1.0,1.0
44,264,49,6,5.38776,0.89796
44,264,264,1,1.0,1.0
45,270,50,6,5.4,0.9
45,270,270,1,1.0,1.0
46,276,51,6,5.41176,0.90196
46,276,276,1,1.0,1.0
47,282,52,6,5.42308,0.90385
47,282,282,1,1.0,1.0
48,288,53,6,5.43396,0.90566
48,288,288,1,1.0,1.0
49,294,54,6,5.44444,0.90741
49,294,294,1,1.0,1.0
50,300,55,6,5.45455,0.90909
50,300,300,1,1.0,1.0
51,306,56,6,5.46429,0.91072
51,306,306,1,1.0,1.0
52,312,57,6,5.47368,0.91228
52,312,312,1,1.0,1.0
53,318,58,6,5.48276,0.91379
53,318,318,1,1.0,1.0
54,324,59,6,5.49153,0.91526
54,324,324,1,1.0,1.0
55,330,60,6,5.5,0.91667
55,330,330,1,1.0,1.0
56,336,61,6,5.5082,0.91803
56,336,336,1,1.0,1.0
57,342,62,6,5.51613,0.91936
57,342,342,1,1.0,1.0
58,348,63,6,5.52381,0.92063
58,348,348,1,1.0,1.0
59,354,64,6,5.53125,0.92188
59,354,354,1,1.0,1.0
60,360,65,6,5.53846,0.92308
60,360,360,1,1.0,1.0
61,366,66,6,5.54545,0.92424
61,366,366,1,1.0,1.0
62,372,67,6,5.55224,0.92537
62,372,372,1,1.0,1.0
63,378,68,6,5.55882,0.92647
63,378,378,1,1.0,1.0
64,384,69,6,5.56522,0.92754
64,384,384,1,1.0,1.0
65,390,70,6,5.57143,0.92857
65,390,390,1,1.0,1.0
66,396,71,6,5.57746,0.92958
66,396,396,1,1.0,1.0
67,402,72,6,5.58333,0.93056
67,402,402,1,1.0,1.0
68,408,73,6,5.58904,0.93151
68,408,408,1,1.0,1.0
69,414,74,6,5.59459,0.93243
69,414,414,1,1.0,1.0
70,420,75,6,5.6,0.93333
70,420,420,1,1.0,1.0
71,426,76,6,5.60526,0.93421
71,426,426,1,1.0,1.0
72,432,77,6,5.61039,0.93506
72,432,432,1,1.0,1.0
73,438,78,6,5.61538,0.9359
73,438,438,1,1.0,1.0
74,444,79,6,5.62025,0.93671
74,444,444,1,1.0,1.0
