Ранг задачи (r),T1,Tn,Количество этапов (n),Коэффициент ускорения K(r),Эффективность e(r)
1,6,6,6,1.0,0.16667
2,12,7,6,1.71429,0.28571
3,18,8,6,2.25,0.375
4,24,9,6,2.66667,0.44444
5,30,10,6,3.0,0.5
6,36,11,6,3.27273,0.54546
7,42,12,6,3.5,0.58333
8,48,13,6,3.69231,0.61538
9,54,14,6,3.85714,0.64286
10,60,15,6,4.0,0.66667
11,66,16,6,4.125,0.6875
12,72,17,6,4.23529,0.70588
13,78,18,6,4.33333,0.72222
14,84,19,6,4.42105,0.73684
15,90,20,6,4.5,0.75
16,96,21,6,4.57143,0.76191
17,102,22,6,4.63636,0.77273
18,108,23,6,4.69565,0.78261
19,114,24,6,4.75,0.79167
20,120,25,6,4.8,0.8
21,126,26,6,4.84615,0.80769
22,132,27,6,4.88889,0.81481
23,138,28,6,4.92857,0.82143
24,144,29,6,4.96552,0.82759
25,150,30,6,5.0,0.83333
26,156,31,6,5.03226,0.83871
27,162,32,6,5.0625,0.84375
28,168,33,6,5.09091,0.84849
29,174,34,6,5.11765,0.85294
30,180,35,6,5.14286,0.85714
31,186,36,6,5.16667,0.86111
32,192,37,6,5.18919,0.86486
33,198,38,6,5.21053,0.86842
34,204,39,6,5.23077,0.87179
35,210,40,6,5.25,0.875
36,216,41,6,5.26829,0.87805
37,222,42,6,5.28571,0.88095
38,228,43,6,5.30233,0.88372
39,234,44,6,5.31818,0.88636
40,240,45,6,5.33333,0.88889
41,246,46,6,5.34783,0.89131
42,252,47,6,5.3617,0.89362
43,258,48,6,5.375,0.89583
44,264,49,6,5.38776,0.89796
45,270,50,6,5.4,0.9
46,276,51,6,5.41176,0.90196
47,282,52,6,5.42308,0.90385
48,288,53,6,5.43396,0.90566
49,294,54,6,5.44444,0.90741
50,300,55,6,5.45455,0.90909
51,306,56,6,5.46429,0.91072
52,312,57,6,5.47368,0.91228
53,318,58,6,5.48276,0.91379
54,324,59,6,5.49153,0.91526
55,330,60,6,5.5,0.91667
56,336,61,6,5.5082,0.91803
57,342,62,6,5.51613,0.91936
58,348,63,6,5.52381,0.92063
59,354,64,6,5.53125,0.92188
60,360,65,6,5.53846,0.92308
61,366,66,6,5.54545,0.92424
62,372,67,6,5.55224,0.92537
63,378,68,6,5.55882,0.92647
64,384,69,6,5.56522,0.92754
65,390,70,6,5.57143,0.92857
66,396,71,6,5.57746,0.92958
67,402,72,6,5.58333,0.93056
68,408,73,6,5.58904,0.93151
69,414,74,6,5.59459,0.93243
70,420,75,6,5.6,0.93333
71,426,76,6,5.60526,0.93421
72,432,77,6,5.61039,0.93506
73,438,78,6,5.61538,0.9359
74,444,79,6,5.62025,0.93671
75,450,80,6,5.625,0.9375
76,456,81,6,5.62963,0.93827
77,462,82,6,5.63415,0.93902
78,468,83,6,5.63855,0.93976
79,474,84,6,5.64286,0.94048
80,480,85,6,5.64706,0.94118
81,486,86,6,5.65116,0.94186
82,492,87,6,5.65517,0.94253
83,498,88,6,5.65909,0.94318
84,504,89,6,5.66292,0.94382
85,510,90,6,5.66667,0.94444
86,516,91,6,5.67033,0.94505
87,522,92,6,5.67391,0.94565
88,528,93,6,5.67742,0.94624
89,534,94,6,5.68085,0.94681
90,540,95,6,5.68421,0.94737
91,546,96,6,5.6875,0.94792
92,552,97,6,5.69072,0.94845
93,558,98,6,5.69388,0.94898
94,564,99,6,5.69697,0.9495
95,570,100,6,5.7,0.95
96,576,101,6,5.70297,0.95049
97,582,102,6,5.70588,0.95098
98,588,103,6,5.70874,0.95146
99,594,104,6,5.71154,0.95192
100,600,105,6,5.71429,0.95238
101,606,106,6,5.71698,0.95283
102,612,107,6,5.71963,0.95327
103,618,108,6,5.72222,0.9537
104,624,109,6,5.72477,0.95413
105,630,110,6,5.72727,0.95454
106,636,111,6,5.72973,0.95495
107,642,112,6,5.73214,0.95536
108,648,113,6,5.73451,0.95575
109,654,114,6,5.73684,0.95614
110,660,115,6,5.73913,0.95652
